,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
251,Product Management Fundamentals,"11,913",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",James Green,Introductory,Business & Management,English,English,199.0,4,2,3
252,International Human Rights Law,"74,424",Self-paced on your time,Université catholique de Louvain,Olivier De Schutter,Advanced,Law,English,English,150.0,12,6,8
253,The Best Start in Life: Early Childhood Development for Sustainable Development,"23,139",Self-paced on your time,SDG Academy,Hirokazu Yoshikawa-Jack Shonkoff-Aisha Yousafzai-Catherine Tamis-LeMonda,Intermediate,Education & Teacher Training,English,"اللغة العربية, English, Español, हिन्दी, Português",49.0,8,2,4
254,Data Science and Machine Learning Capstone Project,"21,809",Self-paced on your time,IBM,Sourav Mazumder-Linda Liu-Alex Aklson,Intermediate,Data Analysis & Statistics,English,English,99.0,6,3,4
255,"Data Science for Construction, Architecture and Engineering","11,113",Self-paced on your time,The National University of Singapore,Clayton Miller,Introductory,Data Analysis & Statistics,English,English,199.0,7,4,6
256,"Nutrition, Heart Disease and Diabetes","24,986",Self-paced on your time,Wageningen University & Research,Marianne Geleijnse-Leanne Küpers-Dr. Marco Mensink,Intermediate,Food & Nutrition,English,English,99.0,5,6,8
257,Project Management for Development,"62,099",Self-paced on your time,Inter-American Development Bank,Claudia Baca-Ernesto Mondelo,Intermediate,Business & Management,English,English,49.0,10,3,4
258,Introduction to Cloud Infrastructure Technologies,"86,923",Self-paced on your time,The Linux Foundation,Chris Pokorni-Chip Childers-Neependra Khare,Introductory,Computer Science,English,English,169.0,14,3,4
259,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry","13,566",Self-paced on your time,Wageningen University & Research,Prof.dr.ir. Louise O. Fresco-Dr. Kim Poldner-Dr. Nishant Shah-Paulien Harmsen MSc,Introductory,Art & Culture,English,English,65.0,5,4,6
260,Machine Learning,"150,855",Instructor-led on a course schedule,Columbia University,John W. Paisley,Advanced,Computer Science,English,English,249.0,12,8,10
261,Introducción a la gestión de proyectos,"98,517",Self-paced on your time,Universitat Politècnica de Valencia,Alberto Palomares Chust,Introductory,Business & Management,Español,Español,50.0,5,4,5
262,Free Cash Flow Analysis,"36,085",Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,225.0,5,3,4
263,Lean Production,"55,926",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,99.0,6,3,4
264,Introduction to Algebra,"131,197",Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,139.0,4,4,6
265,"LaTeX for Students, Engineers, and Scientists","11,823",Self-paced on your time,IITBombay,Deepak B. Phatak-Firuza Karmali (Aibara)-Nagesh Karmali,Introductory,Engineering,English,English,139.0,7,3,4
266,Leading With Effective Communication (Inclusive Leadership Training),"107,770",Self-paced on your time,Catalyst,Dnika J. Travis-Alixandra Pollack-Jeff Barth,Introductory,Communication,English,English,50.0,4,1,2
267,Anatomy: Musculoskeletal and Integumentary Systems,"51,969",Self-paced on your time,The University of Michigan,Kathleen Alsup,Introductory,Biology & Life Sciences,English,English,49.0,4,2,3
268,"Inglés empresarial: ventas, gestión y liderazgo","10,897",Instructor-led on a course schedule,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-David John Phillips,Introductory,Business & Management,English,"English, Español",49.0,4,5,8
269,Business Strategy from Wharton: Competitive Advantage,"26,675",Self-paced on your time,The Wharton School of the University of Pennsylvania,Nicolaj Siggelkow,Intermediate,Business & Management,English,English,199.0,6,3,4
270,Inteligencia emocional para el liderazgo efectivo y colaboración,"14,726",Self-paced on your time,Universidades Anáhuac,Psic. Vanessa Arrigunaga Chico-Laura Villarreal González,Introductory,Social Sciences,Español,Español,49.0,4,4,5
271,Introducción al desarrollo de aplicaciones web,"27,757",Self-paced on your time,Universidad Autónoma de Madrid,Ruth Cobos Pérez-Álvaro Ortigosa-Roberto Latorre Camino,Introductory,Computer Science,Español,Español,49.0,5,4,5
272,"Six Sigma: Analyze, Improve, Control","56,016",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,99.0,8,3,4
273,Introducción a la inteligencia emocional,"18,830",Self-paced on your time,Universidades Anáhuac,Pped. Silvia Josefina Axle Echanove-Psic. Alejandro González Novelo-M.C. Jorge Carlos Hevia Orozco,Introductory,Social Sciences,Español,Español,49.0,4,3,5
274,AP® Microeconomics,"53,664",Self-paced on your time,Massachusetts Institute of Technology,Jonathan Gruber,Introductory,Economics & Finance,English,English,49.0,12,3,4
275,Engineering Calculus and Differential Equations,"21,535",Self-paced on your time,University of Hong Kong,Kwok Wing Chow-Kai Man Tsang,Introductory,Math,English,English,50.0,6,3,6
276,Linear Algebra - Foundations to Frontiers,"88,570",Self-paced on your time,The University of Texas at Austin,Maggie Myers-Robert van de Geijn,Intermediate,Computer Science,English,English,49.0,15,6,10
277,Habilidades de negociación y comunicación efectiva,"19,614",Self-paced on your time,Tecnológico de Monterrey,Daniel Meade Monteverde-Luz María Vargas Reguer,Introductory,Business & Management,Español,Español,149.0,4,5,8
278,Effective Communication for Today's Leader,"8,862",Self-paced on your time,Tecnológico de Monterrey,Carlos Alberto Tena Sánchez,Intermediate,Business & Management,English,English,149.0,4,5,8
279,Electric Cars: Technology,"40,972",Self-paced on your time,Delft University of Technology,Pavol Bauer-Auke Hoekstra-Gautham Ram-Marnix Wagemaker,Intermediate,Engineering,English,English,50.0,4,4,5
280,Site Planning Online,"12,948",Self-paced on your time,Massachusetts Institute of Technology,Gary Hack-Mary Anne Ocampo,Intermediate,Design,English,English,99.0,10,4,6
281,Macroeconometric Forecasting,"69,358",Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Adina Popescu-Sam Ouliaris-Reda Cherif,Intermediate,Economics & Finance,English,English,25.0,9,8,10
282,Administración pública y fiscal: cómo se gestiona un gobierno,"49,189",Self-paced on your time,Inter-American Development Bank,Pedro Farias-Mariano Lafuente-Miguel Porrúa-Carlos Pimenta,Introductory,Economics & Finance,Español,"Español, Español",25.0,10,3,4
283,Fundamentals of Red Hat Enterprise Linux,"53,788",Self-paced on your time,Red Hat,Ricardo da Costa,Introductory,Computer Science,English,English,99.0,9,1,3
284,Algorithms,"61,722",Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,149.0,6,6,8
285,Calculus Applied!,"54,976",Self-paced on your time,Harvard University,John Wesley Cain-Juliana Belding-Peter M. Garfield,Intermediate,Math,English,English,99.0,10,3,6
286,Precalculus,"55,576",Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Intermediate,Math,English,English,49.0,15,9,10
287,Fundamentos de anatomía y técnica quirúrgica básica,"12,133",Instructor-led on a course schedule,Universidad del Rosario,Felipe González-Ricardo Miguel Luque Bernal,Introductory,Medicine,Español,Español,49.0,4,4,6
288,Business Communications,"60,713",Self-paced on your time,University of British Columbia,Marlisse Silver Sweeney,Introductory,Business & Management,English,English,150.0,6,3,5
289,Italian Language and Culture: Intermediate (2019-2020),"35,058",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Intermediate,Language,Italiano,Italiano,49.0,12,3,5
290,International Women's Health and Human Rights,"9,796",Self-paced on your time,Stanford University,Anne Firth Murray,Introductory,Social Sciences,English,English,50.0,10,1,5
291,Blockchain: Understanding Its Uses and Implications,"66,769",Self-paced on your time,The Linux Foundation,Ernesto Lee-Kris Bennett-Rosa Santos,Introductory,Business & Management,English,English,199.0,14,2,3
292,"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods","22,366",Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,49.0,7,2,4
293,Blockchain Technology,"55,376",Self-paced on your time,"University of California, Berkeley",Rustie Lin-Nadir Akhtar,Intermediate,Computer Science,English,English,99.0,6,3,5
294,Basics of Power BI,"8,314",Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,49.0,2,1,5
295,Preparing to Network in English,"34,337",Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,149.0,6,3,5
296,Mandarin Chinese Essentials,"36,665",Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,99.0,5,4,10
297,Human Rights: The Rights of Refugees,"84,270",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Humanities,English,English,49.0,3,3,5
298,What do Architects and Urban Planners do?,"11,046",Self-paced on your time,Wits University,Ariane Janse van Rensburg-Mawabo Msingaphantsi-Ludwig Hansen-Johan N Prinsloo,Introductory,Architecture,English,English,49.0,3,2,3
299,"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy","22,723",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,49.0,4,2,4
300,Negotiation Skills and Effective Communication,"8,146",Self-paced on your time,Tecnológico de Monterrey,Luz María Vargas Reguer-Daniel Meade Monteverde,Intermediate,Business & Management,English,English,149.0,4,5,8
301,AP® English Literature & Composition – Part 1: Stories,"15,650",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,49.0,7,4,5
302,"Viruses & How to Beat Them: Cells, Immunity, Vaccines","28,710",Self-paced on your time,IsraelX-Tel Aviv University,Jonathan Gershoni,Introductory,Medicine,English,English,149.0,7,2,3
303,Alianzas: un vehículo para lograr el desarrollo sostenible,"17,554",Self-paced on your time,Inter-American Development Bank,Bernardo Guillamón-Matías Bendersky-María Cortés Puch-Guido Schmidt-Traub,Introductory,Social Sciences,Español,English,25.0,10,3,4
304,Designing and Creating Skirts,"13,954",Self-paced on your time,The Hong Kong Polytechnic University,Tanya Dove-Kristina Shin-Jalice Cheng-Marco Rebora,Introductory,Design,English,English,99.0,5,3,5
305,Cómo Aprender Online,"7,958",Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo-Marina Pastor,Introductory,Education & Teacher Training,Español,"English, Español",49.0,2,2,3
306,Computing in Python II: Control Structures,"31,511",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,99.0,5,9,10
307,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,"29,614",Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,49.0,5,3,4
308,Machine Learning Fundamentals,"82,008",Self-paced on your time,"The University of California, San Diego",Sanjoy Dasgupta,Advanced,Data Analysis & Statistics,English,English,350.0,10,8,10
309,Pre-University Calculus,"103,224",Self-paced on your time,Delft University of Technology,Bart van den Dries-Roelof Koekoek-Wolter Groenevelt-Fokko van de Bult,Introductory,Math,English,English,50.0,8,6,8
310,Tsinghua Chinese: Start Talking with 1.3 Billion People,"58,834",Self-paced on your time,Tsinghua University,Xia Ding-Xiaoning Wang-Li Lu-Yuan Li,Introductory,Language,English,English,49.0,6,2,3
311,Deep Learning with Python and PyTorch,"36,195",Self-paced on your time,IBM,Joseph Santarcangelo,Intermediate,Data Analysis & Statistics,English,English,99.0,6,2,4
312,Diseña presentaciones eficaces con Powerpoint,"36,663",Self-paced on your time,Universitat Politècnica de Valencia,Miguel Ferrando Bataller-Ignacio Despujol-Linda Castañeda Quintero,Introductory,Computer Science,Español,Español,50.0,3,4,10
313,World of Wine: From Grape to Glass,"81,839",Self-paced on your time,University of Adelaide,Kerry Wilkinson-Cassandra Collins-David Jeffery-Paul Grbin,Introductory,Science,English,English,199.0,6,2,3
314,Sustainable Cities,"16,619",Self-paced on your time,SDG Academy,Aromar Revi-Joshua Castellino-Jeffrey D. Sachs-Susan Parnell,Intermediate,Environmental Studies,English,"English, हिन्दी",49.0,9,4,6
315,Introduction to Developmental Psychology,"38,060",Self-paced on your time,The University of Queensland,Blake McKimmie-Virginia Slaughter-Mark Nielsen-Nicole Nelson,Introductory,Humanities,English,English,99.0,8,1,2
316,Creativity & Entrepreneurship,"69,413",Self-paced on your time,Berklee College of Music,Panos Panay,Introductory,Business & Management,English,English,49.0,4,3,5
317,College Algebra and Problem Solving,"103,010",Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Introductory,Math,English,English,49.0,15,8,9
318,Academic writing for clarity and meaning,"16,220",Self-paced on your time,Wits University,Peter Alkema-Nomusa Mazonde-Terri Carmichael,Introductory,Education & Teacher Training,English,English,49.0,2,2,3
319,Financial Development and Financial Inclusion,"13,853",Self-paced on your time,The International Monetary Fund,Ralph Chami-Sami Ben Naceur-Dyna Heng-Dmitriy Rozhkov,Intermediate,Economics & Finance,English,English,25.0,7,8,10
320,Global Public Health,"17,273",Self-paced on your time,SDG Academy,K. Srinath Reddy-Richard Cash-Vinod Paul-Rob Yates,Intermediate,Health & Safety,English,English,49.0,10,4,6
321,Embedded Systems - Shape The World: Microcontroller Input/Output,"69,182",Self-paced on your time,The University of Texas at Austin,Jonathan Valvano-Ramesh Yerraballi,Intermediate,Computer Science,English,English,49.0,8,8,10
322,Introduction to Animal Behaviour,"42,135",Self-paced on your time,Wageningen University & Research,Marc Naguib-James Savage-Lysanne Snijders,Introductory,Biology & Life Sciences,English,English,49.0,6,4,6
323,Circular Economy: An Introduction,"50,240",Self-paced on your time,Delft University of Technology,Ken Webster-Conny Bakker-David Peck-Ester van der Voet,Introductory,Business & Management,English,English,50.0,7,3,6
324,Public Financial Management,"23,288",Self-paced on your time,The International Monetary Fund,Staff of the Fiscal Affairs Department,Intermediate,Economics & Finance,English,English,25.0,8,4,6
325,Anatomy: Human Neuroanatomy,"49,319",Self-paced on your time,The University of Michigan,Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,49.0,8,3,4
326,Android: Introducción a la Programación,"85,786",Self-paced on your time,Universitat Politècnica de Valencia,Jesús Tomás Gironés,Introductory,Computer Science,Español,Español,50.0,10,4,5
327,The Ancient Greek Hero,"51,744",Instructor-led on a course schedule,Harvard University,Gregory Nagy-Leonard Muellner-Kevin McGrath-Keith DeStone,Introductory,Humanities,English,English,99.0,18,8,12
328,Agile Leadership Principles and Practices,"31,838",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,199.0,4,2,3
329,How to Code: Simple Data,"98,113",Self-paced on your time,University of British Columbia,Gregor Kiczales,Introductory,Computer Science,English,English,125.0,7,2,3
330,Cybersecurity and Privacy in the IoT,"21,440",Self-paced on your time,Curtin University,Iain Murray AM-Nazanin Mohammadi-Eleanor Sandry,Introductory,Computer Science,English,English,199.0,5,4,6
331,Strategic Management,"71,085",Self-paced on your time,Indian Institute of Management Bangalore,P D Jose-Rejie George Pallathita-Sai Yayavaram,Introductory,Business & Management,English,"English, हिन्दी",150.0,5,3,5
332,Introducción a la ciencia de datos y sus aplicaciones,"7,303",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,Español,Español,39.0,6,3,6
333,"Biochemistry: Biomolecules, Methods, and Mechanisms","18,692",Instructor-led on a course schedule,Massachusetts Institute of Technology,Michael Yaffe-Mary Ellen Wiltrout-Darcy Gordon-Monika Avello,Intermediate,Biology & Life Sciences,English,English,150.0,12,3,6
334,Astronomía Virtual,"10,500",Self-paced on your time,Universidad Nacional de Córdoba,Guillermo Goldes,Introductory,Science,Español,"English, Español",29.0,7,5,7
335,Nutrition and Cancer,"27,144",Self-paced on your time,Wageningen University & Research,Ellen Kampman-Fränzel van Duijnhoven-Dieuwertje Kok,Intermediate,Food & Nutrition,English,English,99.0,5,6,8
336,Build your very first iOS app,"31,570",Instructor-led on a course schedule,Curtin University,Dr David A. McMeekin-Tristan W. Reed,Introductory,Computer Science,English,English,149.0,8,8,10
337,Object-Oriented Programming,"93,633",Self-paced on your time,IITBombay,Deepak B. Phatak-Supratik Chakraborty-Nagesh Karmali-Firuza Karmali (Aibara),Introductory,Computer Science,English,English,149.0,4,6,8
338,Introduction to Jenkins,"7,233",Self-paced on your time,The Linux Foundation,Deepika Gautam,Introductory,Computer Science,English,English,199.0,10,2,3
339,Conducting an Informational Interview,"15,594",Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,99.0,8,3,5
340,Liderazgo y comportamiento organizacional,"21,419",Self-paced on your time,Tecnológico de Monterrey,Elliott Kruse,Introductory,Business & Management,Español,Español,149.0,4,5,8
341,Creative Coding,"18,660",Instructor-led on a course schedule,New York University,Kevin Siwoff,Introductory,Design,English,English,249.0,14,8,10
342,Análisis estadístico con Excel,"22,717",Self-paced on your time,Universidad Galileo,Samuel Reyes Gómez,Introductory,Data Analysis & Statistics,Español,Español,49.0,4,3,5
343,Introducción a la Ingeniería del Software,"17,931",Self-paced on your time,Universidad Autónoma de Madrid,Miren Idoia Alarcón Rodríguez,Introductory,Computer Science,Español,Español,49.0,5,4,5
344,Computer Graphics,"98,553",Self-paced on your time,"The University of California, San Diego",Ravi Ramamoorthi,Intermediate,Computer Science,English,"English, 中文",99.0,6,6,12
345,Data Science: Computational Thinking with Python,"78,232",Self-paced on your time,"University of California, Berkeley",Ani Adhikari-John DeNero-David Wagner,Introductory,Computer Science,English,English,199.0,5,4,6
346,Comunicación efectiva para el líder actual,"18,470",Self-paced on your time,Tecnológico de Monterrey,Carlos Alberto Tena Sánchez,Introductory,Communication,Español,Español,149.0,4,5,8
347,Debate y argumentación,"10,954",Self-paced on your time,Universidad del Rosario,Diego Fernando Duarte Leal,Introductory,Humanities,Español,Español,49.0,4,4,6
348,Deep Learning with Tensorflow,"37,564",Self-paced on your time,IBM,Saeed Aghabozorgi,Intermediate,Data Analysis & Statistics,English,English,99.0,5,2,4
349,Machine Learning (aprendizaje automático) con Python: una introducción práctica,"39,155",Self-paced on your time,IBM,Saeed Aghabozorgi-Adrián Tozzi,Introductory,Computer Science,Español,Español,49.0,5,4,6
350,Essential Human Biology: Cells and Tissues,"67,961",Self-paced on your time,University of Adelaide,Mario Ricci-Rachel Gibson-Sophie Karanicolas-​Catherine Snelling,Introductory,Medicine,English,English,169.0,5,2,3
351,"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告","35,720",Self-paced on your time,Tsinghua University,Xiaohong Guan,Intermediate,Communication,English,English,49.0,5,2,3
352,Computing in Python III: Data Structures,"27,239",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,99.0,5,9,10
353,Introduction to Internet of Things (IoT),"6,703",Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,49.0,2,1,5
354,Nutrition and Health: Food Risks,"51,493",Self-paced on your time,Wageningen University & Research,Ivonne M.C.M. Rietjens-Marcel H. Zwietering-Martine Reij-Jochem Louisse,Introductory,Biology & Life Sciences,English,English,49.0,8,6,8
355,Mechanics: Kinematics and Dynamics,"35,529",Self-paced on your time,Massachusetts Institute of Technology,Deepto Chakrabarty-Peter Dourmashkin-Anna Frebel-Analia Barrantes,Intermediate,Physics,English,English,49.0,12,10,12
356,Storytelling for Social Change,"30,313",Self-paced on your time,The University of Michigan,Anita Gonzalez,Introductory,Communication,English,English,49.0,5,1,3
357,Introduction to Data Analytics for Managers,"39,113",Self-paced on your time,The University of Michigan,Amitabh Sinha-Sanjeev Kumar,Introductory,Business & Management,English,English,49.0,6,2,4
358,Qualitative Research Methods: Conversational Interviewing,"21,972",Self-paced on your time,Massachusetts Institute of Technology,Susan Silbey-Meghan Perdue,Intermediate,Humanities,English,English,49.0,3,2,3
359,International Project Management,"45,145",Self-paced on your time,Rochester Institute of Technology,Celine Gullace-Leonie Fernandes,Advanced,Business & Management,English,English,150.0,9,8,12
360,Software Development Fundamentals,"51,402",Self-paced on your time,University of Pennsylvania,Arvind Bhusnurmath,Intermediate,Computer Science,English,English,149.0,4,6,8
361,"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots","17,484",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,49.0,3,3,5
362,Critical Thinking & Problem Solving,"6,558",Self-paced on your time,Rochester Institute of Technology,Mike Johansson,Introductory,Communication,English,English,199.0,3,4,6
363,Data Analysis Essentials,"42,262",Self-paced on your time,Imperial College Business School-Imperial College London,David Lefevre-Catarina Sismeiro,Introductory,Business & Management,English,English,79.0,6,4,6
364,Master Control in Supply Chain Management and Logistics,"31,326",Self-paced on your time,Chalmers University of Technology,Per Olof Arnäs-Ola Hultkrantz,Introductory,Business & Management,English,English,49.0,7,4,5
365,Work and Employment for a Sustainable Future,"6,528",Self-paced on your time,SDG Academy,Jeffrey D. Sachs-Jeemol Unni-Martha Chen-Kailash Satyarthi,Intermediate,Economics & Finance,English,English,49.0,6,2,4
366,Foundations of Data Structures,"54,075",Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,149.0,6,6,8
367,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis","31,024",Self-paced on your time,The International Monetary Fund,Paolo Dudine-Adolfo Barajas-Eric Verreydt-Luisa Zanforlin,Intermediate,Economics & Finance,English,English,25.0,6,8,10
368,IoT System Design: Software and Hardware Integration,"13,608",Self-paced on your time,Waseda University,Keiji Kimura-Nozomu Togawa-Yoshio Miki,Intermediate,Computer Science,English,English,99.0,4,4,6
369,English for Doing Business in Asia – Writing,"44,252",Self-paced on your time,The Hong Kong University of Science and Technology,Sean McMinn-Delian Gaskell,Introductory,Humanities,English,English,60.0,7,3,4
370,Working in Teams: A Practical Guide,"43,981",Self-paced on your time,The University of Queensland,Lydia Kavanagh-David Neil,Introductory,Humanities,English,English,49.0,4,6,8
371,Introducción a los encofrados y las cimbras en obra civil y edificación,"16,029",Self-paced on your time,Universitat Politècnica de Valencia,Víctor Yepes Piqueras,Introductory,Engineering,Español,Español,50.0,4,2,3
372,AI Chatbots without Programming,"35,440",Self-paced on your time,IBM,Antonio Cangiano,Introductory,Computer Science,English,English,99.0,2,2,4
373,Introducción a la Ciencia de Datos y el Big Data,"16,268",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,49.0,4,3,5
374,Just Money: Banking as if Society Mattered,"25,553",Self-paced on your time,Massachusetts Institute of Technology,J. Phillip Thompson-Lily Steponaitis-Katrin Kaeufer-Alice Maggio,Introductory,Business & Management,English,English,49.0,16,3,4
375,Introducción a R,"6,431",Self-paced on your time,Universidades Anáhuac,César Iván Cobos May-Víctor Cruz Morales,Introductory,Data Analysis & Statistics,Español,Español,49.0,4,5,8
376,Computing in Python IV: Objects & Algorithms,"28,112",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,99.0,5,9,10
377,Adobe Illustrator: aprende a crear presentaciones de impacto,"18,613",Self-paced on your time,Pontificia Universidad Javeriana,Juan Carlos Lemus Romero,Introductory,Design,Español,Español,15.0,5,9,10
378,Teaching Critical Thinking through Art with the National Gallery of Art,"18,595",Self-paced on your time,The Smithsonian Institution,Julie Carmean,Introductory,Education & Teacher Training,English,"English, Español, Français, 中文",25.0,16,3,4
379,Word intermedio: herramientas de formato y productividad,"10,265",Self-paced on your time,Universitat Politècnica de Valencia,Andrés Lloret Salom,Intermediate,Computer Science,Español,Español,50.0,6,4,5
380,Introducción a las finanzas: Principios de valoración,"17,344",Self-paced on your time,Universidad del Rosario,Rafael Serrano-Laura Natalia López,Intermediate,Economics & Finance,Español,Español,49.0,4,6,10
381,Aprende a diseñar jardines verticales y cuadros vivos,"6,341",Self-paced on your time,Universidad Nacional de Córdoba,Equipo Campus Virtual,Introductory,Biology & Life Sciences,Español,Español,29.0,4,1,2
382,"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","36,917",Self-paced on your time,The University of Michigan,Glenn M. Fox,Introductory,Biology & Life Sciences,English,English,49.0,4,2,3
383,Software Engineering: Introduction,"35,524",Self-paced on your time,University of British Columbia,Reid Holmes,Advanced,Computer Science,English,English,125.0,6,8,10
384,Structure of Materials,"13,042",Self-paced on your time,Massachusetts Institute of Technology,Silvija Gradečak-Jessica Sandland,Intermediate,Engineering,English,English,150.0,16,6,8
385,Fundamentos de fotografía documental,"13,036",Self-paced on your time,Universidad del Rosario,Luis Alberto Cardozo Acosta,Introductory,Art & Culture,Español,Español,49.0,6,4,6
386,AP® Italian Language and Culture (2020-2021),"39,398",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Advanced,Humanities,Italiano,Italiano,49.0,12,3,8
387,Computer Hardware and Operating Systems,"9,715",Self-paced on your time,New York University,Daniel Katz-Braunschweig-Aspen Olmsted,Introductory,Computer Science,English,English,150.0,6,3,5
388,Marketing Management,"43,415",Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Judy Frels-David Godes-P.K. Kannan-Mary Beth Furst,Advanced,Business & Management,English,English,214.0,7,8,10
389,You Can Innovate: User  Innovation & Entrepreneurship,"18,974",Self-paced on your time,Massachusetts Institute of Technology,Eric von Hippel-Erdin Beshimov,Introductory,Business & Management,English,English,49.0,10,2,4
390,Analytics in Python,"82,210",Instructor-led on a course schedule,Columbia University,,Intermediate,Business & Management,English,,249.0,12,8,10
391,Bases Matemáticas: Álgebra,"35,811",Self-paced on your time,Universitat Politècnica de Valencia,Alicia Herrero Debón,Introductory,Math,Español,Español,50.0,4,3,4
392,HTML5 Apps and Games,"86,850",Self-paced on your time,The World Wide Web Consortium (W3C),Michel Buffa,Advanced,Computer Science,English,English,199.0,4,6,8
393,MATLAB and Octave for Beginners,"68,706",Self-paced on your time,École polytechnique fédérale de Lausanne,Simone Deparis,Introductory,Computer Science,English,English,139.0,4,5,6
394,AP Physics 1,"43,401",Self-paced on your time,Rice University,Matt Wilson-Gigi Nevils-Jason Hafner,Introductory,Physics,English,English,49.0,18,3,4
395,The Divine Comedy: Dante's Journey to Freedom,"12,005",Self-paced on your time,Georgetown University,Frank Ambrosio-Francesco Ciabattoni-Jo Ann Moran Cruz-Eddie Maloney,Introductory,Humanities,English,English,49.0,8,9,10
396,Linux Basics: The Command Line Interface,"32,726",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,49.0,7,3,5
397,Entrepreneurial Operations: Launching a Startup,"23,808",Self-paced on your time,Babson College,Jennifer Bailey,Intermediate,Business & Management,English,English,149.0,4,4,6
398,Maths Essentials,"44,642",Self-paced on your time,Imperial College Business School-Imperial College London,David Lefevre,Introductory,Business & Management,English,English,79.0,6,2,5
399,"Marketing Analytics: Products, Distribution and Sales","50,588",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,249.0,4,5,7
400,Marketing Innovative Products and Services,"6,293",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Lola Koiki,Introductory,Business & Management,English,English,149.0,4,2,3
401,Just Reading and Writing in English | 生活英语读写,"33,303",Self-paced on your time,Tsinghua University,,Introductory,Art & Culture,English,English,149.0,15,2,4
402,Introduction to Java Programming – Part 1,"270,376",Self-paced on your time,The Hong Kong University of Science and Technology,Ting-Chuen Pong-Tony W K Fung-Leo P M Fan,Introductory,Computer Science,English,English,99.0,5,3,5
403,Comunicación y Redacción Digital,"7,165",Self-paced on your time,Universidades Anáhuac,Abraham Torres,Introductory,Communication,Español,Español,29.0,4,3,4
404,Monetary Policy Analysis and Forecasting,"6,616",Self-paced on your time,The International Monetary Fund,Mikhail Pranovich,Advanced,Economics & Finance,English,English,25.0,6,8,10
