,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
36,The Health Effects of Climate Change,"110,024",Self-paced on your time,Harvard University,Aaron Bernstein-Ashish Jha,Introductory,Environmental Studies,English,English,99.0,7,3,5
37,Inglés básico: conversacional y networking,"79,671",Self-paced on your time,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-Andrea Josefina Sansores Ruz,Introductory,Business & Management,Español,"English, Español",49.0,4,5,8
38,Statistics and R,"314,586",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,English,249.0,4,2,4
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"145,011",Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Chemistry,English,English,199.0,16,2,3
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"123,870",Self-paced on your time,Harvard University,Peter Der Manuelian,Introductory,Art & Culture,English,English,99.0,8,2,4
41,"PredictionX: Omens, Oracles & Prophecies","91,566",Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,Social Sciences,English,English,25.0,1,3,5
42,Excel: Fundamentos y herramientas,"284,279",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Introductory,Computer Science,Español,Español,50.0,8,3,4
43,Lessons from Ebola: Preventing the Next Pandemic,"91,983",Self-paced on your time,Harvard University,Ashish Jha,Introductory,Social Sciences,English,English,49.0,4,3,5
44,Improving Global Health: Focusing on Quality and Safety,"127,353",Self-paced on your time,Harvard University,Ashish Jha,Intermediate,Social Sciences,English,English,99.0,10,2,4
45,CS50 for Lawyers,"87,336",Self-paced on your time,Harvard University,Doug Lloyd-David J. Malan,Introductory,Computer Science,English,English,99.0,10,3,6
46,Data Science: Visualization,"171,258",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
47,Christianity Through Its Scriptures,"125,051",Self-paced on your time,Harvard University,Karen L. King-Sarah Griffis,Introductory,Humanities,English,English,99.0,4,5,10
48,The Science of Happiness,"475,614",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Social Sciences,English,English,169.0,11,4,5
49,Leaders of Learning,"231,131",Self-paced on your time,Harvard University,Richard Elmore,Introductory,Communication,English,"English, Español",99.0,10,2,4
50,Exercising Leadership: Foundational Principles,"57,814",Self-paced on your time,Harvard University,Ronald Heifetz,Introductory,Business & Management,English,English,99.0,4,2,3
51,Data Science: Probability,"135,859",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,"117,410",Self-paced on your time,Harvard University,Kathryn Parker Boudett,Intermediate,Education & Teacher Training,English,"English, Español",70.0,10,1,2
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","80,082",Self-paced on your time,Harvard University,Aaron Kesselheim-Jonathan Darrow-Ameet Sarpatwari-Jerry Avorn,Introductory,Medicine,English,English,99.0,8,2,5
54,Introduction to Family Engagement in Education,"105,146",Self-paced on your time,Harvard University,Karen L. Mapp,Introductory,Education & Teacher Training,English,English,70.0,6,2,4
55,Italian Language and Culture: Beginner (2019-2020),"182,462",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Introductory,Language,Italiano,Italiano,49.0,12,2,5
56,Steps in Japanese for Beginners1 Part1,"53,630",Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,"English, 日本語",49.0,5,3,5
57,How to Write an Essay,"306,787",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,49.0,5,5,6
58,Energy Within Environmental Constraints,"95,324",Self-paced on your time,Harvard University,David Keith-Daniel Thorpe,Introductory,Environmental Studies,English,English,99.0,10,3,5
59,Introduction to Probability,"97,291",Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,99.0,10,5,10
60,AnatomyX: Musculoskeletal Cases,"102,075",Self-paced on your time,Harvard University,"Trudy Van Houten-Michael Parker-Alexander Bick, M.D., Ph.D.",Intermediate,Medicine,English,English,99.0,7,3,6
61,Data Science: Inference and Modeling,"88,256",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
62,Strengthening Community Health Worker Programs,"58,626",Self-paced on your time,Harvard University,Rajesh Ramesh Panjabi,Introductory,Health & Safety,English,English,79.0,6,2,4
63,Buddhism Through Its Scriptures,"182,295",Self-paced on your time,Harvard University,Charles Hallisey-Alexis Bader,Introductory,Humanities,English,English,99.0,4,5,10
64,Introduction to Linux,"642,088",Self-paced on your time,The Linux Foundation,Jerry Cooperstein,Introductory,Computer Science,English,English,199.0,14,5,7
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics","81,221",Self-paced on your time,Harvard University,I. Glenn Cohen,Introductory,Medicine,English,English,99.0,10,1,2
66,Shakespeare's Life and Work,"48,938",Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,49.0,4,5,7
67,Marketing Digital: Content & Community Manager,"112,623",Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,49.0,5,3,4
